report_date,country,region,tier,rank,game,provider,source_report
2026-04-17,Argentina,LATAM,Tier 2,15,Big Bass Splash,Reel Kingdom,Tier2_Top15_17_04_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,1,Joker's Jewels,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,2,5 Lions Megaways,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,3,Buffalo King Megaways,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,4,Gold Party,Wild Streak Gaming,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,5,Gates of Olympus,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,6,First Person Roulette,Evolution,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,7,Sweet Argentina,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,8,First Person Blackjack,Evolution,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,9,Kemet's Treasures,Amusnet,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,10,Blackjack 3 Hand,Habanero,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,11,Panda Panda,Habanero,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,12,Sweet Bonanza,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,13,Crazy Time,Evolution,Tier2_Top15_24_07_Blask_iGamingNews.pdf
2026-07-24,Argentina,LATAM,Tier 2,14,Sugar Rush,Pragmatic Play,Tier2_Top15_24_07_Blask_iGamingNews.pdf
